Page,Provider,Provider Info,Base,Quote,Price,Checks,Address,Address Link
"2","RedStoneweETH/USD (1%, 21600s)","RedStone","weETH","USD","•$3512.99","(7)","0x175b...6D9638","https://etherscan.io/address/0x175b1A1347F207AA0529430012385A14C46D9638"
"2","RedStoneETHx/USD (1%, 86400s)","RedStone","ETHx","USD","•$3487.02","(7)","0xBc7A...41a2C1","https://etherscan.io/address/0xBc7A03E1791C0d29FC9Eb8921B9F16035041a2C1"
"2","CrosscbETH/WETH/USD","Cross","cbETH","USD","•$3615.81","(7)","0x8710...dD7444","https://etherscan.io/address/0x8710019824E557F907Fb0B8BD23d610d74dD7444"
"2","CrossezETH/WETH/USD","Cross","ezETH","USD","•$3461.98","(7)","0x2B23...9a8205","https://etherscan.io/address/0x2B23B4EAAe78D0343d5168A6A489F7daBc9a8205"
"2","CrossrswETH/WETH/USD","Cross","rswETH","USD","•$3360.61","(7)","0x951b...432928","https://etherscan.io/address/0x951bcDd3551Bb617f3B98FcD9E6A5c0e70432928"
"2","CrossWBTC/BTC/USD","Cross","WBTC","USD","•$92205.5","(7)","0x8F35...40ebe2","https://etherscan.io/address/0x8F358638Eb5D0afF47E5b320213C07235e40ebe2"
"2","PythCrypto.SUSDE/USD (120s, ±300bps)","Pyth","sUSDe","USD","•$1.20922","(11)","0xf6D8...65C987","https://etherscan.io/address/0xf6D8CcAa6677265F0A419F47539A7A87AA65C987"
"2","PythCrypto.USDE/USD (120s, ±300bps)","Pyth","USDe","USD","•$0.99935","(11)","0x8918...72CaDb","https://etherscan.io/address/0x8918D496d0AA72d3de7C8f2a5F02C27a1472CaDb"
"2","ChainlinkGHO / USD (0.5%, 86400s)","Chainlink","GHO","USD","•$0.99983","(7)","0x5291...50dF75","https://etherscan.io/address/0x5291579cA14767A54E00fEd2872D609E7850dF75"
"2","ChainlinkDAI / USD (0.25%, 3600s)","Chainlink","DAI","USD","•$0.99983","(7)","0xBb91...CD9224","https://etherscan.io/address/0xBb918933b510CDF9008E0f1B6AFE50A587CD9224"
"3","ChainlinkUSDP / USD (1%, 86400s)","Chainlink","USDP","USD","•Error fetching price","(2)(5)","0x8dAf...AB043E","https://etherscan.io/address/0x8dAf2C71fCa7C9BfE07C3a269c04b9d5e7AB043E"
"3","ChainlinkPYUSD / USD (0.3%, 86400s)","Chainlink","PYUSD","USD","•$1.00001","(7)","0x2789...CDBf8F","https://etherscan.io/address/0x27895A6295a5117CB989d610DF1Df39DC2CDBf8F"
"3","ChainlinkTUSD / USD (0.3%, 86400s)","Chainlink","TUSD","USD","•$0.99745","(7)","0xc56F...88C4E8","https://etherscan.io/address/0xc56F9a895688AA6164cADe142D6C0c006f88C4E8"
"3","CrossETHx/WETH/USD","Cross","ETHx","USD","•$3487.96","(7)","0x1DF4...525496","https://etherscan.io/address/0x1DF4f5afD2Ad4E830a343C7C32824A9F4b525496"
"3","CrossweETH/WETH/USD","Cross","weETH","USD","•$3510.14","(7)","0x6A7c...7A72aF","https://etherscan.io/address/0x6A7c5B6EBFFc65c464f0A3D88913c906bF7A72aF"
"3","ChronicleETH/USD","Chronicle","WETH","USD","•$3243.15","(6)","0x956C...Bd1b86","https://etherscan.io/address/0x956C9b887cB8779140EED942fa91f51B13Bd1b86"
"3","PythCrypto.SDAI/USD (120s, ±300bps)","Pyth","sDAI","USD","•$1.16951","(11)","0xe16E...0e3DF7","https://etherscan.io/address/0xe16E7d93720B470C71e02CD2D483ba18aE0e3DF7"
"3","ChainlinksUSDe / USD (0.5%, 86400s)","Chainlink","sUSDe","USD","•$1.20868","(7)","0xD4fF...9c8a42","https://etherscan.io/address/0xD4fF9D4e0A3E5995A0E040632F34271b2e9c8a42"
"3","Chainlink1INCH / USD (1%, 86400s)","Chainlink","1INCH","USD","•$0.17333","(7)","0x8F63...795d54","https://etherscan.io/address/0x8F63048De9e67B90F43D6879168f49527b795d54"
"3","ChainlinkUNI / USD (1%, 3600s)","Chainlink","UNI","USD","•$5.60926","(7)","0x5801...Fa46D7","https://etherscan.io/address/0x58010Bc0CD6101c94EdcB1173B27745Bd8Fa46D7"
"3","ChainlinkBAL / USD (2%, 86400s)","Chainlink","BAL","USD","•$0.68365","(7)","0x404F...DFf11e","https://etherscan.io/address/0x404F45046a22b3A4A97F73bAe28231648FDFf11e"
